"ansi_code","State","State","Date","Delegates","Trump_del","Cruz_del","Rubio_del","Kasich_del","primary_or_caucus","delegate_allocation","open_or_closed","Trump","Cruz","Rubio","Kasich","winner","margin"
12,"FL","Florida","03/15/16",99,99,0,0,0,"Primary","Winner Take All","Closed",1077221,403640,636653,159412,"Trump ",440568
17,"IL","Illinois","03/15/16",69,53,9,0,5,"Primary","Winner Take All∇","Open",551053,430170,122954,279518,"Trump ",120883
29,"MO","Missouri","03/15/16",52,25,15,0,0,"Primary","Winner Take All∇","Open",382093,380367,57006,92533,"Trump ",1726
37,"NC","North Carolina","03/15/16",72,29,27,6,9,"Primary","Proportional","Open**",458151,418740,87858,144299,"Trump ",39411
69,"MP","Northern Marianas","03/15/16",9,9,0,0,0,"Caucus","Winner Take All","Closed",,,,,,
39,"OH","Ohio","03/15/16",66,0,0,0,66,"Primary","Winner Take All","Open**",727585,267592,59418,956762,"Kasich ",229177
60,"AS","American Samoa","03/22/16",9,1,1,0,0,"Convention","Unbound","Open",,,,,,
4,"AZ","Arizona","03/22/16",58,58,0,0,0,"Primary","Winner Take All","Closed",249916,132147,70556,53040,"Trump ",117769
49,"UT","Utah","03/22/16",40,0,40,0,0,"Caucus","Proportional*#","Closed",24864,122567,0,29773,"Cruz ",92794
38,"ND","North Dakota","04/01/16",28,0,10,0,0,"Caucus","Unbound","Closed",,,,,,
55,"WI","Wisconsin","04/05/16",42,6,36,0,0,"Primary","Winner Take All∇","Open",386290,531129,10569,155200,"Cruz ",144839
36,"NY","New York","04/19/16",95,,,,,"Primary","Proportional*#∇","Closed",,,,,,
9,"CT","Connecticut","04/26/16",28,,,,,"Primary","Proportional*#∇","Closed",,,,,,
10,"DE","Delaware","04/26/16",16,,,,,"Primary","Winner Take All","Closed",,,,,,
24,"MD","Maryland","04/26/16",38,,,,,"Primary","Winner Take All∇","Closed",,,,,,
42,"PA","Pennsylvania","04/26/16",71,,,,,"Primary","Winner Take All∇","Closed",,,,,,
44,"RI","Rhode Island","04/26/16",19,,,,,"Primary","Proportional*∇","Open**",,,,,,
18,"IN","Indiana","05/03/16",57,,,,,"Primary","Winner Take All∇","Open",,,,,,
31,"NE","Nebraska","05/10/16",36,,,,,"Primary","Winner Take All","Closed",,,,,,
54,"WV","West Virginia","05/10/16",34,,,,,"Primary","Direct Election","Open**",,,,,,
41,"OR","Oregon","05/17/16",28,,,,,"Primary","Proportional","Closed",,,,,,
53,"WA","Washington","05/24/16",44,,,,,"Primary","Proportional*∇","Closed",,,,,,
6,"CA","California","06/07/16",172,,,,,"Primary","Winner Take All∇","Closed",,,,,,
30,"MT","Montana","06/07/16",27,,,,,"Primary","Winner Take All","Open",,,,,,
34,"NJ","New Jersey","06/07/16",51,,,,,"Primary","Winner Take All","Open**",,,,,,
35,"NM","New Mexico","06/07/16",24,,,,,"Primary","Proportional*","Closed",,,,,,
46,"SD","South Dakota","06/07/16",29,,,,,"Primary","Winner Take All","Closed",,,,,,
